label,city,state_slug,state_abbr,url,population
"Hibbing, MN",Hibbing,minnesota,MN,/minnesota/hibbing/?tab=insights,16214
"Hinckley, MN",Hinckley,minnesota,MN,/minnesota/hinckley/?tab=insights,1904
"Hopkins, MN",Hopkins,minnesota,MN,/minnesota/hopkins/?tab=insights,17591
"Houston County, MN",Houston County,minnesota,MN,/minnesota/houston-county/?tab=insights,18843
"Howard Lake, MN",Howard Lake,minnesota,MN,/minnesota/howard-lake/?tab=insights,2071
"Hoyt Lakes, MN",Hoyt Lakes,minnesota,MN,/minnesota/hoyt-lakes/?tab=insights,2020
"Hubbard, MN",Hubbard,minnesota,MN,/minnesota/hubbard/?tab=insights,21344
"Hugo, MN",Hugo,minnesota,MN,/minnesota/hugo/?tab=insights,14388
"Hutchinson, MN",Hutchinson,minnesota,MN,/minnesota/hutchinson/?tab=insights,13913
"Independence, MN",Independence,minnesota,MN,/minnesota/independence/?tab=insights,3741
"International Falls, MN",International Falls,minnesota,MN,/minnesota/international-falls/?tab=insights,5802
"Inver Grove Heights, MN",Inver Grove Heights,minnesota,MN,/minnesota/inver-grove-heights/?tab=insights,35801
"Isanti County, MN",Isanti County,minnesota,MN,/minnesota/isanti-county/?tab=insights,41135
"Itasca, MN",Itasca,minnesota,MN,/minnesota/itasca/?tab=insights,45014
"Ivanhoe, MN",Ivanhoe,minnesota,MN,/minnesota/ivanhoe/?tab=insights,560
"Janesville, MN",Janesville,minnesota,MN,/minnesota/janesville/?tab=insights,2254
"Jordan, MN",Jordan,minnesota,MN,/minnesota/jordan/?tab=insights,6076
"Kandiyohi, MN",Kandiyohi,minnesota,MN,/minnesota/kandiyohi/?tab=insights,43732
"Kasson, MN",Kasson,minnesota,MN,/minnesota/kasson/?tab=insights,6851
"Keewatin, MN",Keewatin,minnesota,MN,/minnesota/keewatin/?tab=insights,984
"Kenyon, MN",Kenyon,minnesota,MN,/minnesota/kenyon/?tab=insights,1894
"Kiester, MN",Kiester,minnesota,MN,/minnesota/kiester/?tab=insights,
"La Crescent, MN",La Crescent,minnesota,MN,/minnesota/la-crescent/?tab=insights,5276
"Lake City, MN",Lake City,minnesota,MN,/minnesota/lake-city/?tab=insights,5027
"Lake Crystal, MN",Lake Crystal,minnesota,MN,/minnesota/lake-crystal/?tab=insights,2539
"Lake Elmo, MN",Lake Elmo,minnesota,MN,/minnesota/lake-elmo/?tab=insights,8406
"Lake Saint Croix Beach, MN",Lake Saint Croix Beach,minnesota,MN,/minnesota/lake-saint-croix-beach/?tab=insights,1051
"Lake Shore, MN",Lake Shore,minnesota,MN,/minnesota/lake-shore/?tab=insights,1056
"Lakefield, MN",Lakefield,minnesota,MN,/minnesota/lakefield/?tab=insights,1735
"Lakeland, MN",Lakeland,minnesota,MN,/minnesota/lakeland/?tab=insights,1839
