city,state_slug,population
Hesperia,ca,99818
Dallas County,al,99678
Dallas County,ar,99678
Dallas County,ia,99678
Dallas County,mo,99678
Dallas County,tx,99678
Sutter County,ca,99633
Columbia,md,99615
Tuscaloosa,al,99600
Erie,pa,99475
Lenawee,mi,99423
Dubuque County,ia,99266
Bend,or,99178
Grant County,ar,99123
Grant County,in,99123
Grant County,ks,99123
Grant County,ky,99123
Grant County,mn,99123
Grant County,ne,99123
Grant County,nm,99123
Grant County,nd,99123
Grant County,ok,99123
Grant County,or,99123
Grant County,sd,99123
Grant County,wa,99123
Grant County,wv,99123
Grant County,wi,99123
Portsmouth Heights,va,99049
Richmond Hill,ny,98984
Longmont,co,98885
Alief,tx,98725
Spring Hill,fl,98621
Story,ia,98537
Burleigh,nd,98458
Vista,ca,98381
Allen,tx,98143
Orem,ut,98129
City of Portsmouth,va,97915
Ashtabula County,oh,97574
Lafourche,la,97557
Beaverton,or,97494
Boca Raton,fl,97422
Sunrise,fl,97335
Bastrop County,tx,97216
Sherburne,mn,97183
Yakima,wa,96968
Roanoke County,va,96929
Sandy,ut,96904
Franklin County,al,96749
Franklin County,ar,96749
Franklin County,fl,96749
Franklin County,ga,96749
Franklin County,id,96749
Franklin County,il,96749
Franklin County,in,96749
Franklin County,ia,96749
Franklin County,ks,96749
Franklin County,ky,96749
Franklin County,me,96749
Franklin County,ma,96749
Franklin County,mo,96749
Franklin County,ny,96749
Franklin County,nc,96749
Franklin County,oh,96749
Franklin County,pa,96749
Franklin County,tn,96749
Franklin County,tx,96749
Franklin County,vt,96749
Franklin County,va,96749
Franklin County,wa,96749
Highlands Ranch,co,96713
Walton,fl,96673
Walton,ga,96673
Lawton,ok,96655
King City,or,96577
Portsmouth,va,96201
Sparks,nv,96094
Compton,ca,95740
Yuma,az,95548
Livonia,mi,95535
Toms River,nj,95438
Greenburgh,ny,95397
Geauga,oh,95397
Goodyear,az,95294
Rogers,ok,95240
Grand Traverse,mi,95238
Nash,nc,94970
San Marcos,ca,94833
Fordham,ny,94678
Asheville,nc,94589
Roswell,ga,94501
Edmond,ok,94428
Cabell,wv,94350
Suffolk,va,94324
Santurce,pr,94067
Fall River,ma,94000
Lawrence,ks,93917
The Woodlands,tx,93847
West Albany,ny,93794
Deltona,fl,93692
Pottawattamie,ia,93667
Mission Viejo,ca,93653
Quincy,ma,93618
Redding,ca,93611
Steuben,in,93584
Steuben,ny,93584
Rockdale,ga,93570
Carson,ca,93281
Tuscarawas County,oh,93263
Santa Monica,ca,93076
Bowie County,tx,92893
Calvert,md,92783
South Gate,ca,92726
Hoover,al,92606
Lynn,ma,92457
Arden-Arcade,ca,92186
Kirkland,wa,92175
Westminster,ca,92114
Plantation,fl,91750
Mendocino,ca,91601
Ozaukee,wi,91503
Frederick County,md,91419
Frederick County,va,91419
Chino,ca,91403
Macon,ga,91351
Victoria County,tx,91319
O'Fallon,mo,91316
Grafton County,nh,91118
San Leandro,ca,91008
Meridian,id,90739
Greenville,nc,90597
Twin Falls County,id,90046
Chinatown,ca,90000
Bloomington,il,89987
Bloomington,in,89987
Bloomington,mn,89987
Cheektowaga,ny,89877
Hemet,ca,89833
Guaynabo,pr,89780
Trenton,nj,89620
Sandy Hills,ut,89575
Dodge,ga,89396
Dodge,mn,89396
Dodge,ne,89396
Dodge,wi,89396
Avondale,az,89334
Waukegan,il,89321
Palm Coast,fl,89258
Fort Smith,ar,89142
Indio,ca,89137
Christian,il,88842
Christian,mo,88842
Newton,ma,88817
Carmel,in,88713
Santa Barbara,ca,88665
Santa Barbara,pr,88665
Lapeer County,mi,88619
Champaign,il,88302
Sugar Land,tx,88156
Livermore,ca,88126
Josephine,or,88090
Hawthorne,ca,88083
Nashua,nh,87970
Reading,pa,87879
Cullman County,al,87866
Arecibo,pr,87754
Concord,nc,87696
Citrus Heights,ca,87583
Enchanted Hills,nm,87521
Santa Fe,nm,87505
Whittier,ca,87438
Polk,ar,87433
Polk,fl,87433
Polk,ga,87433
Polk,ia,87433
Polk,mn,87433
Polk,mo,87433
Polk,ne,87433
Polk,nc,87433
Polk,or,87433
Polk,tn,87433
Polk,tx,87433
Polk,wi,87433
Ogden,ut,87321
Auburn,wa,87256
Tracy,ca,87075
Bannock,id,87018
Deerfield Beach,fl,86859
Island,wa,86857
Canton,mi,86825
Lincoln County,ar,86810
Lincoln County,co,86810
Lincoln County,ga,86810
Lincoln County,id,86810
Lincoln County,ks,86810
Lincoln County,ky,86810
Lincoln County,me,86810
Lincoln County,mn,86810
Lincoln County,ms,86810
Lincoln County,mo,86810
Lincoln County,mt,86810
Lincoln County,ne,86810
Lincoln County,nv,86810
Lincoln County,nm,86810
Lincoln County,nc,86810
Lincoln County,or,86810
Lincoln County,sd,86810
Lincoln County,tn,86810
Lincoln County,wa,86810
Lincoln County,wv,86810
Lincoln County,wi,86810
Lincoln County,wy,86810
Lehigh Acres,fl,86784
Duluth,mn,86697
Brooklyn Park,mn,86478
Muskingum,oh,86410
Fort Myers,fl,86395
Germantown,md,86395
Angelina,tx,86395
Clifton,nj,86334
Merced,ca,86333
Lake Forest,ca,85858
Medford,or,85824
Sioux City,ia,85797
Dougherty,ga,85790
Newport County,ri,85643
Westland,mi,85420
Newport Beach,ca,85239
Bellingham,wa,85146
Lake Charles,la,84872
Melbourne,fl,84678
Danbury,ct,84657
San Ramon,ca,84605
East Norwalk,ct,84530
Glynn,ga,84499
Edinburg,tx,84497
Cascade,mt,84414
Redwood City,ca,84292
Orangeburg County,sc,84223
Chemung,ny,84148
Buena Park,ca,84034
Farmington Hills,mi,83986
Kennewick,wa,83921
